BAD,LOAN,MORTDUE,VALUE,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,9500,59494,75930,Other,0,0,0,98.99850784,0,6,36.88843637
0,9500,42699,57680,,10,0,0,114.4929085,1,26,25.07515295
0,9500,43210,59692,Other,1,1,,103.0894831,,13,38.70498507
0,9500,58185,64576,Mgr,6,,4,127.8552645,1,11,38.29830913
1,9500,54612,68759,Other,9,0,0,89.10283861,0,19,31.35390694
0,9500,79479,88772,ProfExe,8,0,0,189.5890747,0,12,37.95298991
1,9500,,40000,Other,10,0,0,36.5,1,1,
0,9600,62405,69459,Other,0,0,2,86.43183174,2,18,36.26033127
0,9600,45158,55455,Other,15,0,0,82.71313688,0,12,30.931518
0,9600,64758,63646,Other,5,0,0,120.6445586,0,34,35.98492935
0,9600,53277,60843,Office,0,0,0,180.2840616,0,21,37.95078758
0,9600,84333,201281,Self,14,0,0,13.21305726,,7,17.82563094
0,9600,70589,99384,Other,0,0,1,176.4674623,0,31,34.23478958
1,9600,42357,99756,Office,4,1,4,354.650225,0,30,36.52517293
0,9600,,68324,Other,,0,0,356.4501783,0,6,36.55426832
0,9600,73000,99600,ProfExe,4.5,0,1,93.33333333,1,34,
0,9600,53196,63942,Other,16,0,4,227.563684,0,36,24.01676994
0,9600,56224,60260,Other,15,0,3,219.7420453,0,36,25.43946354
0,9600,46683,61773,Office,1,0,0,171.058449,1,20,38.00528931
0,9600,,56900,,,,,,,,14.43523879
1,9600,24680,43500,Other,18,0,3,114.6666667,0,19,
0,9600,50655,59502,Other,0,0,0,93.4328441,0,20,37.98235351
0,9600,45240,60136,Other,2,0,1,83.06675091,0,19,38.45430002
0,9600,77359,101365,Other,1,0,0,182.8035145,0,31,33.48191013
0,9600,44553,48626,Mgr,20,0,1,226.4521595,0,18,35.55592289
0,9700,75566,92066,Office,14,0,0,94.98792219,0,8,25.16118348
0,9700,29094,51990,Other,30,0,0,246.1952393,0,19,20.74336471
0,9700,45907,57507,Other,6,0,0,81.22944864,0,11,29.03757422
0,9700,53527,58605,Office,4,0,0,75.58454258,3,12,36.70953891
0,9700,98232,117321,Other,19,0,2,194.4247179,2,15,36.95089224
0,9700,,64644,Other,,0,0,368.0709241,0,6,36.5731696
0,9700,21883,67432,Office,24,0,0,308.9955757,1,12,41.41428065
0,9700,84933,122520,Office,10,0,0,141.433076,1,23,36.79501396
1,9700,55986,73000,Other,2.5,0,1,207.1666667,2,29,
0,9700,108000,210000,ProfExe,2.3,0,0,124.8333333,1,15,
0,9700,5801,58305,Other,8,2,1,352.9666667,1,22,
0,9700,59100,74986,Office,14,0,0,244.5333333,1,32,
1,9700,53000,56000,Office,2,0,0,75.03333333,5,18,
1,9700,73085,92000,Other,8,0,3,173.5,0,34,
0,9700,39141,48905,Other,13,0,0,89.83593974,0,11,32.4314097
0,9700,44652,63232,Other,9,0,0,102.1655136,0,22,37.03487587
0,9700,59633,70398,Other,4,0,0,239.0382058,1,16,38.86724899
0,9700,63488,74374,Office,5,0,0,106.5894523,2,15,26.89601277
0,9700,8852,60599,Other,7,2,1,359.1044913,1,21,16.87198276
1,9700,32660,54536,Office,0,0,0,156.4821057,0,13,67.32490355
0,9700,,54385,Other,10,0,0,314.7328327,1,13,34.17040354
0,9700,77394,86917,Office,16,0,1,81.46140046,0,9,27.70585654
1,9700,47000,82000,Other,,1,2,96.63333333,,8,
0,9800,54564,62109,Mgr,10,0,0,124.021625,0,19,32.56568637
0,9800,15021,31900,Other,6,0,0,276.7342017,0,11,22.29124919
0,9800,136154,203815,ProfExe,1,0,0,70.85332764,2,23,35.8789883
0,9800,79405,111563,Office,0,0,0,240.9429936,1,38,19.33281003
0,9800,58936,78078,,19,0,0,152.1401257,0,11,32.18876052
0,9800,74962,108730,ProfExe,4,0,1,76.39241605,1,33,37.32134756
1,9800,36500,54000,Other,17,0,1,105.6666667,5,19,
0,9800,81199,206201,Self,12,0,0,2.820785578,,7,21.28386768
0,9800,49287,69831,Mgr,2,0,0,182.9948062,2,16,29.71346691
0,9800,62826,65912,Other,6,0,0,132.7524896,0,34,37.58819954
0,9800,49298,73426,Office,9,3,1,242.3890162,1,29,34.69036125
0,9800,69919,100267,Other,16,,,130.8860074,3,15,26.83504341
0,9800,32550,52554,Other,12,0,0,229.5127411,1,32,37.92308809
0,9800,54681,74097,Other,2,0,1,106.8888937,3,18,36.61866086
0,9800,53643,113161,ProfExe,5,0,1,230.3032566,0,9,23.7736104
0,9800,80267,209931,Self,14,0,0,0.50711453,,8,19.9696287
0,9800,78022,103466,Mgr,1,0,0,83.83533849,2,24,37.43461536
0,9800,,45197,Other,,,,316.5253028,,11,29.646666
0,9800,52973,65481,Other,10,0,0,101.4726677,2,33,36.878297
0,9800,55330,78154,Mgr,2,0,1,122.7055369,0,23,28.89610186
0,9800,54861,71138,Other,4,0,0,258.334618,2,16,36.03571287
0,9800,56188,90143,Other,17,0,0,171.4136584,0,29,25.62165041
0,9800,79767,93525,Other,0,4,0,,0,4,31.29011899
0,9800,63891,72980,ProfExe,7,0,0,32.41493353,2,24,39.37186986
0,9800,47126,57365,Other,0,0,1,91.14121871,0,19,38.6576403
0,9800,55539,73560,Office,4,0,0,85.90093624,1,14,26.33161906
1,9900,37609,120186,Other,,0,0,176.367839,3,30,53.17891111
0,9900,60488,75507,Other,3,0,0,239.43364,1,17,38.47307527
0,9900,35448,58056,Other,11,0,0,229.5228444,1,31,37.2974321
0,9900,79379,205346,Self,14,0,0,20.21419487,,7,19.79942792
0,9900,72674,89909,Office,15,0,1,90.95789952,0,8,27.35463407
1,9900,88236,104953,ProfExe,1,0,0,51.64870524,0,2,28.62263209
0,9900,73804,97413,ProfExe,5,0,0,107.3330245,0,25,33.5248796
0,9900,28432,36605,Office,0,0,0,111.5316253,1,29,37.58819565
0,9900,52800,66000,Other,29,1,3,188.9333333,1,24,
0,9900,111000,134347,ProfExe,16,,1,180.6333333,1,33,
1,9900,21400,36600,Self,2,0,0,154.2,2,26,
0,9900,8673,37244,Other,4,0,0,256.6805839,0,12,24.49628632
0,9900,117003,219783,ProfExe,1,0,0,130.7663862,0,14,25.6226109
1,9900,71371,84865,Mgr,0,2,0,94.80523575,0,12,38.2113051
0,9900,55231,78708,Office,4,0,0,85.80147612,2,15,24.59499257
0,9900,47367,114837,ProfExe,4,0,0,210.4355336,0,10,25.04210854
0,9900,108155,219936,ProfExe,2,0,0,126.9393774,1,15,27.99205166
0,9900,74009,108371,Office,1,0,0,246.0947649,0,36,17.25711715
0,9900,82697,100689,ProfExe,3,0,0,133.3657906,0,26,33.59171631
0,9900,47865,88105,Other,18,0,0,203.0239914,0,17,34.55330539
0,9900,84920,201713,Self,13,0,0,3.04438414,,8,21.05764132
0,9900,54961,70609,Mgr,6,,4,105.9346916,2,11,40.70254787
0,9900,26427,87134,ProfExe,20,0,0,244.3652465,0,11,25.00396549
1,9900,23767,39293,Other,5,1,0,145.7657738,0,9,24.60512881
0,9900,31244,44138,Mgr,14,0,0,60.6344698,1,9,31.68813428
0,9900,55342,72357,Mgr,7,,3,111.9988549,1,11,39.87034036
1,9900,59206,75690,Office,6,0,2,288.3950585,1,19,30.77602786
0,9900,83821,124527,Office,30,0,0,319.6519713,1,37,35.76942543
0,10000,63218,76500,Office,5,2,3,183.6666667,3,30,
1,10000,48300,74600,Other,14,0,1,179.1,2,31,
1,10000,34350,54146,Other,3,0,0,144.4228889,0,18,31.5390134
0,10000,75976,91000,Other,10.5,0,0,171.4666667,5,22,
0,10000,68807,76581,Office,14,0,0,237.6478941,0,32,42.33557351
0,10000,,56475,Other,9,2,0,309.2644975,2,12,34.48718804
0,10000,84580,118924,Office,31,0,0,341.9449756,2,37,35.24889763
0,10000,,49266,,,,,,,,15.59729023
0,10000,59828,72489,,18,0,0,157.2436625,1,11,31.62682193
1,10000,22000,41250,Mgr,5,0,0,97.96666667,0,21,
1,10000,86000,111000,Other,6.5,0,1,91.96666667,3,17,
1,10000,26197,46600,ProfExe,9,0,0,165.9666667,2,9,
1,10000,,25010,Self,5,0,3,326.1333333,4,17,
1,10000,20500,54600,Self,15,0,0,160.3333333,2,11,
1,10000,,,Other,,,,,,,
1,10000,186000,225750,ProfExe,2,0,0,75.86666667,,5,
1,10000,28000,73250,Other,2,0,0,28.96666667,4,12,
1,10000,57238,101500,ProfExe,10,0,0,106.8333333,0,36,
1,10000,31253,65450,Other,21,0,0,172.0333333,0,16,
1,10000,27000,54300,Other,0.3,0,1,91.13333333,0,6,
1,10000,53297,74925,Other,14,0,1,88.53333333,2,15,
0,10000,7718,77750,Other,8,0,0,261.8,0,14,
0,10000,63005,78500,Other,3,,,171.7666667,,35,
0,10000,87579,105000,Other,13,0,0,209.9666667,3,16,
0,10000,,42497,Mgr,6,,,165.4333333,,9,
0,10000,32000,59000,Office,24,0,1,232.3333333,1,29,
0,10000,31000,58240,Mgr,,,,,,,
0,10000,71000,97875,ProfExe,8,0,0,165.7148936,0,34,
0,10000,66000,89145,Office,9,0,0,215.0333333,3,29,
0,10000,59764,77870,Sales,7,0,0,136.9,0,35,
0,10000,124000,192000,Office,0,0,1,346.9666667,0,16,
0,10000,80000,107900,ProfExe,12,0,2,176.5333333,0,28,
0,10000,34767,51000,Other,23,0,1,121.7333333,0,23,
0,10000,,23400,,28,0,0,206.9666667,1,5,
0,10000,57068,72000,Other,12,0,0,257.7,0,27,
0,10000,22068,49600,Other,0.9,0,0,247.5666667,0,11,
0,10000,131589,156000,ProfExe,5,0,1,419.0333333,1,43,
0,10000,147234,175300,Office,6,0,0,192.7666667,1,56,
0,10000,48041,76050,Other,3,0,2,185.7,0,13,
0,10000,78000,97400,ProfExe,1,0,0,72.03333333,1,20,
0,10000,64320,102375,Office,10,0,0,148.1666667,1,13,
0,10000,96000,112200,Office,16,1,0,258.7333333,0,16,
0,10000,88777.5,112014,ProfExe,13,0,0,182.6333333,2,18,
0,10000,10000,68250,ProfExe,20,0,2,398.8,1,12,
1,10000,42300,,Mgr,11,1,0,31.4,3,5,
1,10000,5200,53095,Other,5,3,3,234.3333333,3,17,
1,10000,19225.53,35500,Office,5,0,2,186,1,10,
1,10000,62000,80000,Other,5,,1,97.4,4,30,
1,10000,41741,56000,Office,3,0,0,20.23333333,2,6,
1,10000,46946,65000,Office,7.2,0,1,80.1,1,12,
1,10000,75000,103600,Mgr,17.6,0,0,171.4333333,0,24,
1,10000,59929,,Other,5,,,,,,
1,10000,99600,125500,Office,8,0,0,80.1,3,21,
1,10000,122800,151500,ProfExe,2,0,0,205.9666667,1,23,
1,10000,49000,70000,Other,,0,3,190.7333333,1,12,
1,10000,48840,58740,Other,15,2,2,194.8,0,39,
1,10000,13161,37700,Other,,3,0,79.1,2,9,
1,10000,84000,132965,Sales,30,0,0,325.6333333,1,24,
1,10000,42321,53800,Other,4,0,0,275.9,0,19,
1,10000,65000,80000,Other,2,0,0,26.36666667,3,2,
1,10000,76700,97800,Other,25,,10,205.2333333,3,26,
1,10000,59543,86800,Other,9,3,1,152.1333333,2,51,
1,10000,52410,54500,Mgr,1,9,4,132.9,4,29,
1,10000,50070,60670,Other,5,2,0,15.23333333,0,1,
1,10000,16288,48600,Other,24,0,0,268.8333333,1,16,
1,10000,69727,90312,Office,4.5,5,1,122.8333333,,17,
1,10000,,65088,Mgr,3.5,4,5,205.0666667,2,39,
1,10000,,79500,ProfExe,19,0,0,285.1,2,7,
1,10000,,,Other,15,2,2,108.9333333,3,31,
1,10000,91000,110000,Other,16,1,3,123.7666667,2,22,
1,10000,66399,78000,ProfExe,0.9,0,0,112.6,0,15,
1,10000,90700,123370,ProfExe,15,2,0,90.3,1,4,
1,10000,34900,48000,Other,3,0,0,288.1666667,1,3,
0,10000,127319,194992,Office,1,0,1,337.6899717,0,16,41.44750595
0,10000,48769,65328,Office,4,0,1,104.6952407,3,12,39.04935922
0,10000,133879,157446,ProfExe,6,0,1,421.3628722,1,42,30.6069987
1,10000,36000,68800,Other,13,0,0,118.6666667,6,15,
0,10000,64375,72418,ProfExe,14,0,0,207.6173064,3,31,38.86794908
0,10000,114643,130127,Self,5,0,1,160.6678931,0,19,33.92004439
0,10000,,69502,,,,,,,,25.77278284
0,10000,41949,51684,Other,15,0,0,84.12345095,0,12,31.26731878
0,10100,114590,215784,ProfExe,2,0,0,123.1691828,0,14,27.84508378
0,10100,45493,54605,Mgr,21,0,1,234.5917784,0,18,36.59466404
0,10100,87942,106000,Other,13,0,0,219.3852784,2,16,40.75164798
0,10100,32608,47377,Other,9,0,0,67.38706567,0,3,35.69019304
0,10100,66393,85605,Office,6,1,1,203.6995629,3,29,37.66930513
1,10100,,25300,Other,,1,0,122.3,1,5,
0,10100,68240,84067,Sales,8,0,0,131.4041801,0,35,28.44381048
0,10100,81263,98536,Mgr,1,0,0,73.16044771,1,23,38.33125572
0,10100,137299,200339,ProfExe,0,0,0,66.35759046,2,23,35.2377013
0,10100,47426,68820,Other,16,0,4,220.7609123,0,36,24.01951269
0,10100,57881,69554,Other,29,0,3,189.9245224,1,24,34.61045543
1,10100,60200,74000,Other,4,,4,128.8666667,5,24,
0,10100,68820,78830,Other,2,,,170.7224523,,34,29.20675283
0,10100,73174,91101,Office,14,0,0,77.11709066,0,8,25.04259669
0,10100,54873,73085,Other,5,0,1,252.2528926,1,16,38.7274173
0,10100,49683,55728,Other,0,0,0,91.09579488,0,20,37.13310754
0,10100,72136,89437,,5,0,0,205.7371252,0,15,30.79876353
0,10100,55559,89231,Other,16,1,0,175.5555713,0,29,26.900321
0,10100,126358,180305,Other,8,0,0,199.3505297,1,20,32.03362879
0,10100,58446,71145,Other,4,0,1,244.6243676,1,15,38.11730639
0,10100,63283,82912,Other,0,0,0,99.81625825,1,7,38.37053971
0,10100,55738,73266,Office,5,0,0,85.63523503,1,14,24.53432507
0,10100,93085,110069,Other,13,0,0,206.799179,3,16,40.56989706
0,10100,154005,175684,Office,4,0,0,189.3663073,0,56,33.97122188
0,10100,,69451,,,,,,,,22.51968544
0,10200,44000,57000,Other,0,1,0,191.7333333,2,13,
0,10200,9078,35261,,,,,,,,33.6664545
0,10200,102281,114277,Office,15,0,0,263.2869775,0,16,36.82778595
0,10200,70882,98154,Other,16,,,153.1181363,3,15,25.1199559
1,10200,69116,105228,ProfExe,12,0,8,122.8439512,0,36,36.12288591
0,10200,82630,99250,Other,1,0,0,107.5285598,1,32,40.28097487
0,10200,55539,65357,Mgr,5,0,0,190.9459308,1,17,28.64082373
0,10200,51108,68673,Mgr,6,,,116.6793672,,23,42.77564391
0,10200,59907,71580,ProfExe,14,0,0,237.9481372,2,32,36.40094666
0,10200,84196,91642,Other,1,0,0,104.8350719,1,32,38.37611263
1,10200,52310,74117,Other,13,0,3,118.6957855,2,23,
0,10200,77571,102732,ProfExe,6,0,0,100.6296635,0,34,37.36151357
0,10200,60180,72370,Mgr,5,,,125.2948667,,23,42.50461354
0,10200,71111,80385,Office,4,1,2,170.2818826,2,29,38.62337208
0,10200,54900,79000,Office,14,0,0,113.6333333,0,24,
0,10200,8907,59814,Other,7,2,0,364.4309474,1,22,16.06424538
0,10200,46140,56206,,8,1,0,115.7806282,1,25,22.31370515
1,10200,48670,90444,Other,,1,1,89.35547488,,7,39.15104729
0,10200,73157,83858,,3,0,0,193.5089634,0,16,29.08799472
0,10200,78628,92090,Other,10,1,0,164.3178964,6,21,38.72132161
0,10200,38223,60728,Mgr,,,,,,,35.34785383
0,10200,61179,69591,,18,0,0,148.7044776,1,11,34.47220461
0,10200,34522,43076,Other,9,0,0,92.90754834,0,3,36.84535669
1,10200,29581,39992,Self,3,0,0,149.8746257,2,26,43.19724206
0,10200,16322,86505,Other,8,0,0,259.1638196,0,14,21.25349814
0,10200,57142,72664,,19,0,0,158.1858039,1,12,32.49748842
0,10200,80969,100937,Other,9,0,0,168.7498211,4,21,39.69842981
0,10200,86400,113698,ProfExe,11,0,1,181.542927,0,27,35.03165088
0,10200,65803,85155,Other,15,0,0,218.4817546,0,36,36.18219201
0,10200,79257,105912,ProfExe,3,0,0,95.35537249,0,33,39.3913652
0,10200,,64377,Other,,0,0,347.2450131,0,6,37.77468156
0,10300,61000,75000,Office,12,0,0,251.5333333,4,37,
1,10300,70147,122124,Other,1,0,0,58.8956859,0,7,57.99501862
0,10300,54925,84078,Other,2,0,1,189.6952729,0,13,29.13369741
0,10300,51787,86200,Other,17,0,0,203.7327626,0,16,34.43524605
0,10300,79243,89840,Office,16,0,0,87.82534618,0,9,24.47937322
0,10300,,69085,Other,,0,0,380.2780405,0,7,36.73982022
0,10300,46609,63812,Other,1,0,0,184.7884163,2,13,29.14003137
0,10300,58572,75946,Office,5,0,0,85.01005286,2,14,27.76943894
0,10300,,50548,Mgr,5,,,165.5531992,,9,23.88633081
0,10300,50714,56088,Office,1,0,0,163.0891482,1,21,37.97305537
0,10300,65382,73817,Other,1,0,0,190.648145,1,17,34.19289159
0,10300,74624,96697,Office,7,0,0,217.2353212,3,28,41.51130079
0,10300,75483,99345,ProfExe,3,0,0,133.7905101,0,25,34.88723609
0,10300,45275,62724,Other,11,0,1,109.3246387,3,34,37.29182499
0,10300,57676,71027,,19,0,0,157.5196371,1,11,33.99236607
0,10300,59340,84708,Other,13,0,0,222.3648894,1,36,34.92598425
0,10300,82889,97189,Mgr,2,0,0,82.50744621,2,24,39.53698719
0,10300,56127,72294,Other,28,1,3,184.3457508,0,24,34.63423561
0,10300,65876,80064,,3,0,0,220.8259789,0,15,30.633131
0,10300,57902,74355,Other,4,0,0,243.6309162,1,16,36.57444189
1,10300,39893,55000,Other,1.5,0,1,99.43333333,2,32,
0,10300,,51053,Other,10,1,0,306.9922054,2,12,34.48387842
0,10300,44941,60694,Other,2,0,0,85.68120512,0,20,39.53639781
0,10400,63505,75811,Other,3,0,0,182.0920717,2,17,33.69078564
0,10400,66044,83531,Office,12,0,0,241.5141532,0,31,45.56984265
0,10400,62442,73197,ProfExe,8,0,0,47.61067763,1,24,38.88482776
0,10400,63626,79477,Other,12,0,0,260.7972622,0,27,27.94286603
0,10400,56610,86831,Other,19,0,0,190.0848295,0,28,24.60265855
0,10400,21235,40116,Other,3,,,,,,36.90541431
0,10400,64904,76767,Office,11,0,0,245.0180119,4,37,41.42384414
0,10400,64336,77564,Office,4,2,3,188.7800761,2,30,39.69998047
0,10400,37233,52320,Other,15,0,0,88.67732863,0,11,31.05643679
0,10400,57816,82047,Other,3,0,1,176.6568946,0,12,30.67420529
1,10400,51200,76125,Other,12,0,0,132.3666667,0,16,
0,10400,39821,54040,Mgr,21,1,0,231.6054114,1,18,36.43973673
0,10400,78320,100017,Other,10,0,0,167.4225397,4,21,41.97487828
1,10400,42714,72322,Other,12,0,0,105.0748016,6,15,41.26235347
0,10400,45710,55299,Office,0,0,0,166.3741502,0,20,34.53641174
0,10400,11426,69294,ProfExe,20,0,1,396.9262645,1,11,20.29198894
0,10500,,53907,Other,10,0,0,308.2132622,2,13,34.40894842
0,10500,60145,63268,Other,4,0,0,122.4960779,0,34,36.73687075
0,10500,64295,73594,,19,0,0,157.2465503,0,11,33.55631225
0,10500,154434,179486,Office,5,0,0,182.3539,1,55,34.98345933
0,10500,64331,65040,Other,4,0,0,66.54105782,1,20,42.33212434
0,10500,,73388,Other,,0,0,367.2308638,0,7,36.84217463
0,10500,13694,87580,Other,8,0,0,258.5549278,0,14,20.26019805
0,10500,26000,39000,Other,9,,1,152.2333333,7,29,
0,10500,88829,114962,Other,13,0,0,206.212228,3,15,37.86494621
0,10500,53537,66674,Office,4,0,0,83.5030948,2,11,37.09841345
0,10500,41467,58329,Mgr,2,0,0,187.7134862,0,22,27.86112392
1,10500,57880,66802,Other,2,0,0,94.59842526,8,21,45.46476584
0,10500,63130,71387,Other,3,0,2,305.556928,0,10,32.1779167
0,10500,57372,67960,ProfExe,1.5,0,0,158.2666667,2,35,
1,10500,,18600,Other,24,,,,,,
0,10500,74000,89000,Mgr,6,0,0,138.0333333,2,27,
1,10500,41500,56247,Other,8,0,1,70.03333333,2,24,
0,10500,30922,57682,Other,30,0,0,241.4604126,0,19,23.23703502
0,10500,69656,88198,Office,15,0,0,97.31940617,0,8,27.32239655
1,10500,89000,268000,ProfExe,,4,,120.8,2,15,
0,10500,42003,53754,Other,16,0,0,84.55110419,0,12,32.34295932
0,10500,76729,102287,ProfExe,5,0,0,89.06269877,1,33,38.44765886
0,10500,74814,98132,ProfExe,8,0,0,164.3308981,0,34,32.3751491
1,10500,55267,65160,Other,1,0,0,108.2754232,8,22,47.07928537
0,10500,47483,53877,,9,0,0,117.0523947,0,26,21.44628171
0,10500,34044,55784,Other,10,0,0,245.1308598,1,32,36.35032943
0,10500,12630,32220,,,,,,,,34.34585989
0,10500,27180,86978,ProfExe,22,0,0,230.7211544,0,10,25.75301023
0,10600,47701,66500,Other,10,0,0,103.0142897,0,23,37.3100061
0,10600,37742,64334,Mgr,,,,,,,37.54125788
0,10600,80386,106526,ProfExe,1,0,0,64.06673554,1,19,34.10469706
0,10600,31216,44716,Other,8,,1,149.1946475,6,29,37.88226039
0,10600,82894,124359,Other,7,,,,,,40.32588532
0,10600,54344,92742,Other,19,0,0,171.205079,0,28,24.55320617
0,10600,39061,50225,Other,15,0,0,77.11428511,0,12,32.58746565
1,10600,61294,82646,ProfExe,5,0,4,87.85916929,2,13,36.39514815
0,10600,46589,64559,Other,8,0,0,85.23087649,2,33,40.45139254
0,10600,28264,86546,ProfExe,20,0,0,244.140509,0,11,24.20235008
0,10600,44696,57686,Office,0,0,0,170.3409741,0,20,37.79255503
0,10600,61513,73143,ProfExe,2,0,0,164.5676555,2,34,43.20495313
0,10600,82365,100272,ProfExe,3,1,0,122.4835943,0,26,33.65164695
0,10600,81151,200459,Self,14,0,0,9.53414271,,7,21.22321399
0,10600,62909,81411,Other,15,0,0,238.3144708,1,35,34.68038165
1,10600,53200,71000,ProfExe,2,0,0,224.2333333,5,39,
1,10600,22000,35200,Mgr,13,0,0,90.33333333,5,14,
0,10600,56814,66692,Mgr,10,0,0,107.3740552,1,18,32.62568704
0,10600,136820,201820,ProfExe,2,0,0,68.35305606,1,22,38.0722099
0,10600,50662,62491,Other,0,0,0,197.709267,1,13,26.25188835
0,10600,43676,61576,Other,6,0,0,84.83912605,1,10,30.8681375
0,10600,66590,77465,Other,1,1,0,110.7716232,0,6,39.73578526
0,10600,46972,80147,Office,12,3,0,244.2335301,2,29,32.6565313
0,10600,63245,82041,Office,3,1,3,184.5725782,3,29,38.21903431
0,10600,73844,107640,ProfExe,3,0,0,92.97949051,0,34,37.31928931
0,10600,120137,137090,ProfExe,17,,1,173.6904615,0,33,30.95890574
0,10600,80397,203341,Self,14,0,0,11.96373328,,7,18.73208974
0,10600,83217,101359,Mgr,1,0,0,54.74662201,2,24,40.76038718
0,10600,27666,56218,Other,3,0,0,249.8511899,0,10,39.52832634
0,10600,64546,84576,Other,0,,,173.6252843,,35,28.97180377
0,10600,48018,68963,Mgr,2,0,0,186.7575926,1,16,30.65574434
0,10600,56352,75277,Office,5,0,0,98.37727819,2,15,26.24239431
0,10600,72022,82238,Office,5,1,2,181.7689404,3,30,39.59414827
0,10600,58701,67967,Mgr,10,0,0,116.5322893,1,19,31.54021826
0,10700,85198,107044,ProfExe,0,0,0,66.75832547,0,19,36.84646682
0,10700,56197,79272,Other,18,0,0,218.9816622,1,16,34.01535961
0,10700,126751,184554,Other,8,0,0,225.8703522,0,19,34.13705457
0,10700,48322,64383,Other,0,1,0,185.2567347,2,12,28.03080155
0,10700,83650,203720,Self,11,0,0,13.58869396,,8,19.58771055
0,10700,124330,176350,Other,8,0,0,222.6343393,1,19,33.96477734
0,10700,55341,78062,Other,3,0,1,192.5968546,0,12,28.82864931
1,10700,55043,68609,Other,2,0,0,46.27217596,1,17,25.44884453
0,10700,73996,92766,Office,15,0,1,102.1474286,0,9,25.3840627
0,10700,59588,69166,Other,6,0,0,133.9065052,0,17,36.18085758
0,10700,49573,68125,Other,2,0,0,223.2,0,10,
1,10700,122000,148000,ProfExe,0.7,0,0,165.3333333,7,29,
1,10700,34000,49756,Other,0.9,1,0,230.3,8,8,
0,10700,67523,85560,Sales,5,0,0,126.8429349,0,35,26.00166533
1,10700,41144,59375,Other,2,0,0,73.6,1,18,
0,10700,50210,64838,Other,9,0,0,95.03916828,2,34,40.39623344
0,10700,54091,67661,Other,27,0,2,188.5339891,0,24,38.58937235
0,10700,147477,181050,Office,6,0,0,190.0210849,1,55,34.69816239
0,10700,115118,124198,Self,6,1,0,174.3418233,0,19,31.75799058
0,10700,110789,126781,Self,6,0,1,178.6374675,0,19,31.88893638
0,10700,51224,70399,Mgr,5,,,110.6774417,,23,42.93929441
0,10700,67065,96171,Office,9,0,0,205.0076003,3,28,41.58720119
0,10700,29569,47842,Other,12,,1,144.8171746,7,28,36.78458201
0,10800,199000,226000,ProfExe,11,0,0,236.3666667,0,22,
1,10800,64305,107374,ProfExe,9,0,0,97.86132576,0,36,36.99638566
0,10800,98568,121994,Office,15,0,0,270.2651653,0,16,33.65829222
0,10800,32870,61572,Mgr,,,,,,,38.49024696
1,10800,35602,73077,Self,,0,1,179.89656,1,20,53.58488301
0,10800,11950,46780,Office,24,0,0,268.9,0,20,
0,10800,70214,83882,Office,4,1,2,172.7993009,3,30,38.58882359
0,10800,49254,80527,Other,2,0,2,202.5374304,0,13,29.55158314
0,10800,44355,57742,Other,20,0,1,129.7319921,0,22,38.04276786
0,10800,125732,184667,Other,7,0,0,212.2234688,0,19,33.92078997
0,10800,31149,67239,Mgr,,,,,,,35.26543738
0,10800,80203,98731,Other,4,0,0,113.4251457,2,31,41.47407381
0,10800,64181,70996,Other,4,0,0,171.7595791,2,17,33.22779359
1,10800,57892,78900,ProfExe,15,0,3,329.1666667,1,14,
0,10800,,,,,,,,,,
1,10800,75000,87400,Other,7,1,0,101.4666667,2,19,
1,10800,52600,66700,ProfExe,2,0,0,110.5666667,5,26,
0,10800,75378,86060,Mgr,6,0,0,102.6650708,0,23,30.09500969
0,10800,67740,108135,Office,11,0,0,163.2738318,1,12,38.38349838
1,10800,194485,228670,ProfExe,1,0,0,75.45815036,,4,28.37013088
0,10800,56477,94980,Other,17,0,0,179.9173626,0,28,25.21073966
0,10800,78898,86567,ProfExe,9,0,0,179.8308288,0,12,40.29195198
0,10800,59469,69834,Other,3,0,0,308.7591757,0,9,34.09578509
0,10800,61791,78361,Office,5,0,0,94.51806778,2,15,28.08852465
1,10800,24182,39750,ProfExe,2,0,0,176.8333333,0,36,
0,10800,,49495,Mgr,5,,,141.1652982,,8,21.07999894
0,10800,83441,92148,Mgr,5,0,0,119.145844,1,26,40.97863532
0,10800,49953,75322,Other,0,0,0,58.89273133,8,21,23.87594619
0,10800,67171,82138,Other,2,0,0,89.12452631,0,6,38.8031464
0,10800,13365,66979,Other,9,2,1,346.9796514,1,22,16.48162968
0,10800,89139,122571,Other,8,,,,,,40.78052715
0,10800,42191,57224,Other,15,0,0,68.81082617,0,11,30.51822975
0,10800,61767,72668,ProfExe,15,0,0,228.9854532,3,32,37.91433471
1,10900,86754,110000,ProfExe,13,0,2,103.4333333,0,19,
0,10900,57494,66704,Mgr,6,,,115.3127491,,24,39.51098574
0,10900,,76207,,,,,,,,22.3926116
0,10900,49406,83074,Other,1,0,1,191.8151231,0,13,30.12455569
0,10900,22513,52355,Other,1,0,0,248.5834087,0,10,39.20462501
1,10900,,16365,Other,,0,0,59.54870268,1,2,24.19590363
0,10900,,66691,Other,,0,0,349.7523621,0,7,34.34334852
0,10900,17282,70783,ProfExe,19,0,1,404.9043933,0,11,23.61012437
0,10900,56793,68825,Other,3,0,0,225.8890415,0,9,34.72787519
0,10900,25061,35792,Other,3,,,,,,37.10471224
